Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
BDCQ.SEA1AA,2016.09,85933.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2016.12,96540.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2017.03,98994.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2017.06,90510.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2017.09,87089.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2017.12,98933.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2018.03,101168.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2018.06,90766.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2018.09,86929.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2018.12,100290.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2019.03,102031.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2019.06,90836.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2019.09,88032.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2019.12,100531.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2020.03,100947.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2020.06,93239.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2020.09,93195.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2020.12,102683.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2021.03,101342.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2021.06,92962.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2021.09,91635.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2021.12,102423.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2022.03,100285.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2022.06,94075.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2022.09,90838.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AS,2011.06,83971.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2011.09,84195.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2011.12,82509.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2012.03,84365.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2012.06,85735.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2012.09,85262.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2012.12,84318.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2013.03,85165.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2013.06,85602.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2013.09,87734.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2013.12,90124.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2014.03,90482.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2014.06,89904.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2014.09,91095.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2014.12,91047.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2015.03,91526.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2015.06,91997.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2015.09,91322.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2015.12,92595.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2016.03,92684.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2016.06,92635.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2016.09,92965.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2016.12,92116.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2017.03,92626.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2017.06,94391.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2017.09,94238.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2017.12,94209.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2018.03,94960.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2018.06,94581.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2018.09,93980.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2018.12,95271.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2019.03,96189.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2019.06,94580.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2019.09,94984.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2019.12,95288.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2020.03,95635.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2020.06,97002.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2020.09,100296.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2020.12,97156.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2021.03,96483.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2021.06,96590.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2021.09,98388.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2021.12,96818.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2022.03,95832.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2022.06,97642.0,nan,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AS,2022.09,97354.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Seasonally adjusted,nan,nan
BDCQ.SEA1AT,2011.06,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2011.09,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2011.12,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2012.03,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2012.06,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2012.09,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2012.12,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2013.03,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2013.06,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2013.09,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2013.12,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2014.03,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2014.06,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2014.09,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2014.12,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2015.03,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2015.06,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2015.09,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2015.12,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2016.03,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2016.06,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2016.09,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2016.12,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2017.03,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2017.06,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2017.09,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2017.12,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2018.03,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2018.06,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2018.09,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2018.12,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2019.03,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2019.06,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2019.09,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2019.12,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2020.03,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2020.06,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2020.09,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2020.12,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2021.03,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2021.06,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2021.09,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2021.12,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2022.03,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2022.06,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1AT,2022.09,nan,nan,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Trend,nan,nan
BDCQ.SEA1BA,2011.06,5234.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,nan,nan
BDCQ.SEA1BA,2011.09,5268.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,nan,nan
BDCQ.SEA1BA,2011.12,5499.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,nan,nan
BDCQ.SEA1BA,2012.03,5811.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,nan,nan
BDCQ.SEA1BA,2012.06,5847.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,nan,nan
BDCQ.SEA1BA,2012.09,5922.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,nan,nan
BDCQ.SEA1BA,2012.12,5722.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,nan,nan
BDCQ.SEA1BA,2013.03,5487.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,nan,nan
BDCQ.SEA1BA,2013.06,5506.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,nan,nan
BDCQ.SEA1BA,2013.09,5540.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,nan,nan
BDCQ.SEA1BA,2013.12,5492.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,nan,nan
BDCQ.SEA1BA,2014.03,6004.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,nan,nan
BDCQ.SEA1BA,2014.06,5886.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,nan,nan
BDCQ.SEA1BA,2014.09,5815.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,nan,nan
BDCQ.SEA1BA,2014.12,5592.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,nan,nan
BDCQ.SEA1BA,2015.03,5300.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,nan,nan
BDCQ.SEA1BA,2015.06,5422.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,nan,nan
BDCQ.SEA1BA,2015.09,5199.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,nan,nan
BDCQ.SEA1BA,2015.12,5060.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,nan,nan
BDCQ.SEA1BA,2016.03,5194.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,nan,nan
BDCQ.SEA1BA,2016.06,5080.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,nan,nan
BDCQ.SEA1BA,2016.09,5129.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,nan,nan
